name,source
the-williams-companies,F500
thermo-fisher-scientific,BD
thompson-reuters,IB
thomson-reuters,BD
thrivent-financial-for-lutherans,F500
tide-ariel,BD
tiffany-and-co,IB
tiffany-co,BD
timberland,BD
time-inc.,BD
time-warner,F500
time-warner-cable,BD
tommy-hilfiger,BD
toyota,IB
toys-r-us,BD
tracfone,BD
tractor-supply,BD
travelcenters-of-america-llc,F500
travelers,BD
treehouse-foods,BD
trident,BD
trinity-industries,F500
tripadvisor,BD
tropicana-beverages,BD
twentyfirst-century-fox,F500
twitter,BD
tyson,BD
u.s.-bank,BD
uber,BD
ugi-corporation,F500
ulta-salon-cosmetics,BD
under-armour,BD
union-pacific,BD
united,BD
united-technologies,BD
unitedhealth,BD
univar,F500
universal-health-services,F500
universal-music-group,BD
unum-group,F500
upc,BD
ups,BD
us-bancorp,F500
us-foods-holding-corp,F500
valero,BD
veritiv-corp,F500
verizon,BD
vf-corporation,F500
vi-com,F500
victorias-secret,BD
visa,BD
visteon-corporation,F500
vmware,BD
volkswagen,IB
voya-financial,F500
walgreens,BD
walgreens-boots-alliance,BD
walmart,BD
walt-disney,BD
warner-bros.,BD
washington-post,BD
waste-management,BD
wec-energy-group,F500
wellcare-health-plans,F500
wells-fargo,BD
welltower-inc.,BD
wesco-international,F500
western--southern-mutual-holding-company,F500
western-digital,BD
western-refining,F500
western-union,BD
westin,BD
westrock-company,F500
weyerhaeuser,BD
whirlpool,BD
whole-foods,BD
williams,BD
windstream,BD
wipro,BD
workday,BD
world-fuel-services-corporation,F500
wr-berkley-corporation,F500
wrigleys,BD
ww-grainger-inc,BD
wyndham,BD
wynn-resorts,BD
xbox,BD
xcel-energy-inc,BD
xerox,BD
xfinity,BD
xpo-logistics,F500
yahoo,BD
yoplait,BD
youtube,BD
yum-brands,F500
zara,IB
zimmer,BD
