name,rank,city,state,freq
LifePoint Health,430,Brentwood,Tennessee,2
Zimmer Biomet Holdings,431,Warsaw,Indiana,1
Harley-Davidson,432,Milwaukee,Wisconsin,15
PulteGroup,433,Atlanta,Georgia,14
Newell Brands,434,Atlanta,Georgia,21
Avery Dennison Corporation,435,Glendale,California,22
Jones Lang LaSalle Incorporated,436,Chicago,Illinois,2
WEC Energy Group,437,Milwaukee,Wisconsin,7
Marathon Oil Corporation,438,Houston,Texas,22
TravelCenters of America LLC,439,Westlake,Ohio,9
United Rentals,440,Stamford,Connecticut,3
HRG Group,441,New York,New York,3
Old Republic International Corporation,442,Chicago,Illinois,5
Windstream Holdings,443,Little Rock,Arkansas,4
Starwood Hotels & Resorts Worldwide,444,Stamford,Connecticut,18
Delek US Holdings,445,Brentwood,Tennessee,2
Packaging Corporation of America,446,Lake Forest,Illinois,2
Quintiles Transnational Holdings,447,Durham,North Carolina,3
Hanesbrands,448,Winston-Salem,North Carolina,2
Realogy Holdings Corp.,449,Madison,New Jersey,6
Mattel,450,El Segundo,California,22
Motorola Solutions,451,Schaumburg,Illinois,22
The J.M. Smucker Company,452,Orrville,Ohio,6
Celanese Corporation,453,Irving,Texas,11
Regions Financial Corporation,453,Birmingham,Alabama,18
The Clorox Company,455,Oakland,California,17
Ingredion Incorporated,456,Westchester,Illinois,5
Genesis Healthcare,457,Kennett Square,Pennsylvania,1
Peabody Energy Corporation,458,St. Louis,Missouri,12
Alaska Air Group,459,Seattle,Washington,3
Seaboard Corporation,460,Merriam,Kansas,6
Frontier Communications Corporation,461,Norwalk,Connecticut,3
Amphenol Corporation,462,Wallingford,Connecticut,2
Lansing Trade Group,463,Overland Park,Kansas,2
SanDisk Corporation,464,Milpitas,California,6
St. Jude Medical,465,St. Paul,Minnesota,7
Wyndham Worldwide Corporation,466,Parsippany,New Jersey,3
Kelly Services,467,Troy,Michigan,22
The Western Union Company,468,Englewood,Colorado,10
Envision Healthcare Holdings,469,Greenwood Village,Colorado,1
Visteon Corporation,470,Van Buren Township,Michigan,15
Arthur J. Gallagher & Co.,471,Itasca,Illinois,1
Host Hotels & Resorts,472,Bethesda,Maryland,15
Ashland,472,Covington,Kentucky,22
Insight Enterprises,474,Tempe,Arizona,8
Energy Future Holdings Corp.,475,Dallas,Texas,22
Markel Corporation,476,Glen Allen,Virginia,1
Essendant,477,Deerfield,Illinois,18
CH2M HILL Companies,478,Englewood,Colorado,8
Western & Southern Mutual Holding Company,479,Cincinnati,Ohio,12
Owens Corning,480,Toledo,Ohio,22
S&P Global,481,New York,New York,22
Raymond James Financial,482,St. Petersburg,Florida,1
NiSource,483,Merrillville,Indiana,18
Airgas,484,Radnor,Pennsylvania,3
ABM Industries Incorporated,485,New York,New York,1
Citizens Financial Group,486,Providence,Rhode Island,1
