"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"grey-goose",8,1,0,2,3,0,3,0,1,0,0,0,0,0,0,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,3,6,0,1,1,1,0,9,0,1,0
"group-1-automotive",10,5,1,2,6,0,2,0,0,1,3,1,0,1,0,0,2,4,0,2,0,0,0,0,1,3,2,0,1,0,1,0,0,0,4,2,1,0,5,2,1,0,0,1,0,0,0,0,0,0,2,1,13,0,0,1,0,8,5,3,1,1,0,1,2,14,0,1,0
"guardian-life-ins-co-of-america",7,6,1,0,3,2,2,4,0,1,1,1,0,0,0,0,0,2,2,2,0,0,2,0,1,1,1,0,0,0,0,1,2,0,0,4,0,0,3,5,1,0,0,0,1,0,0,0,0,0,4,2,8,1,0,1,1,6,3,5,1,0,1,1,1,13,0,1,0
"gucci",0,4,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,4,0,0,1,0,0,5,0,1,0
"halliburton",11,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,11,0,0,1,0,0,0,0,11,0,1,0
"hanesbrands",3,3,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,4,0,0,1,0,3,1,2,1,0,1,1,1,5,0,1,0
"harley-davidson",17,3,0,1,5,2,9,0,0,0,3,0,0,0,0,0,1,4,2,9,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,3,0,1,0,0,0,14,0,0,0,0,0,0,0,0,17,1,2,1,0,0,0,5,0,15,0,0,1,0,0,20,0,1,0
"harman-international-industries",6,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,4,0,1,1,1,1,1,4,0,0,1,0,0,6,0,1,0
"harman-intl",5,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,6,0,0,1,0,0,6,0,1,0
"harris-corp",3,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,2,0,1,1,1,4,0,1,1,0,0,0,4,1,1,0,0
"hbo",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,2,0,1,0
"hca-holdings",1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,1,0,2,1,0,1,1,0,3,0,1,0
"hd-supply",7,1,0,6,0,1,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,8,0,0,1,0,0,0,0,8,0,1,0
"health-net-inc",8,2,0,1,1,3,3,0,2,0,0,0,0,0,0,0,1,0,3,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,3,0,0,0,0,0,0,0,0,3,1,6,1,0,1,1,1,0,9,0,0,1,0,1,9,0,1,0
"heineken",3,5,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,5,0,3,1,0,1,1,0,8,0,1,0
"heinz",1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,3,0,0,1,0,0,0,3,0,1,0,0
"henry-schein-inc",0,8,3,0,0,0,0,0,6,0,1,3,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,3,0,0,0,3,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,1,0,0,2,9,0,0,1,0,0,11,0,1,0
"hermes",5,5,0,1,0,0,4,0,0,0,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,4,6,0,1,1,1,0,10,0,1,0
"hersheys",5,1,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,0,0,1,0,0,6,0,1,0
"hertz",4,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,1,0,4,0,1,1,0,0,0,5,0,1,0,0
"hess",4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,0,0,4,0,1,0
"hilton",1,5,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,1,3,0,3,1,0,1,1,0,6,0,1,0
"hm",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"holiday-inn",8,2,0,4,2,1,1,1,0,1,0,0,0,0,0,0,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,1,0,0,0,3,1,6,1,0,1,1,3,0,7,1,0,1,1,10,0,1,0,0
"hollyfrontier-corporation",5,5,7,0,5,0,0,3,0,0,2,7,0,0,0,0,0,4,0,0,0,0,3,0,0,2,1,0,0,0,0,7,0,0,0,3,1,0,3,7,0,3,0,0,0,0,0,0,0,0,6,0,11,1,0,1,1,4,3,10,0,0,1,0,1,16,0,1,0
"honda",3,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,4,1,0,1,0,0,4,0,1,1,0,0,0,4,1,1,0,0
"honeywell",3,5,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,1,1,1,6,0,2,1,0,0,0,0,8,0,1,0
"hormel",4,2,0,3,0,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,2,2,2,1,1,1,1,3,0,3,1,0,1,1,6,0,1,0,0
"host-hotels-and-resorts",10,3,1,3,4,2,1,0,3,0,0,1,0,0,0,0,3,0,2,1,4,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0,1,0,2,3,9,0,0,1,0,0,14,0,1,0
"hp-enterprise",19,0,0,6,7,0,6,0,0,0,0,0,0,0,0,0,6,1,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,6,8,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,1,0,4,7,8,0,1,1,1,0,19,0,1,0
"hrg-group",5,0,2,1,3,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,3,4,0,1,1,0,1,0,7,0,1,0
"hsbc",0,4,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,4,0,0,1,0,0,4,0,1,0
"humana-inc",6,1,0,2,3,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,6,0,0,1,0,1,0,6,0,0,1,0,1,6,0,1,0
"huntington-ingalls-industries",20,6,1,7,4,2,7,1,0,1,1,1,0,3,0,0,7,3,2,7,0,1,1,0,1,1,1,0,1,0,2,0,0,0,2,4,0,4,0,15,0,2,0,0,0,0,0,0,0,0,6,4,17,0,0,1,0,6,0,21,0,0,1,0,0,27,0,1,0
"huntsman-corporation",8,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,8,0,0,1,0,0,0,0,8,0,1,0
"hyatt",5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,4,1,0,1,0,0,0,5,0,1,0
"hyatt-regency",12,0,0,4,6,0,2,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,1,5,6,0,1,1,1,0,12,0,1,0
"hyundai",8,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,6,0,2,1,0,0,0,0,8,0,1,0
"ibm",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
"icahn-enterprises-lp",14,0,1,4,6,4,0,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,2,3,10,0,0,1,0,0,15,0,1,0
"iheartmedia",12,1,0,4,5,2,1,0,0,1,0,0,0,0,0,0,4,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,1,0,0,4,1,0,1,0,0,0,0,0,1,0,0,2,1,10,0,0,1,0,6,5,2,1,1,0,1,0,13,0,1,0
"ikea",3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,1,3,0,0,1,0,0,0,1,2,1,1,1
"illinois-tool-works",5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,4,0,0,1,0,5,0,1,0,0
"infosys",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,1,2,0,1,1,1,0,3,0,1,0
"ingersoll-rand",21,4,0,9,3,3,6,0,0,0,3,0,0,1,0,0,9,3,3,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,3,12,0,2,0,0,0,0,4,2,19,0,0,1,0,11,0,14,1,0,1,1,24,1,1,0,0
"ingram-micro",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,2,0,1,0
"ingredion-incorporated",12,0,0,7,1,2,2,0,0,0,0,0,0,0,0,0,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,6,1,0,0,1,0,0,0,0,0,0,1,3,8,0,0,1,0,3,0,9,0,0,1,0,1,11,0,1,0
"insight-enterprises",10,2,0,1,3,0,6,0,1,1,0,0,0,0,0,0,1,2,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,1,1,0,0,0,0,0,0,0,0,5,1,6,1,0,1,1,5,0,7,1,0,1,1,0,12,0,1,0
"intel",4,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,4,0,0,1,0,0,5,0,1,0
"international-paper",12,2,4,4,3,1,4,0,1,1,0,4,0,0,0,0,4,1,1,4,0,0,0,0,1,0,2,1,3,0,0,1,0,0,11,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,5,13,0,1,1,1,11,1,6,1,0,1,1,0,18,0,1,0
"intl-fcstone",6,3,2,1,1,4,0,0,0,0,2,2,0,1,0,0,1,0,4,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,0,0,0,0,0,6,0,5,1,0,1,1,0,1,10,0,0,1,0,0,11,0,1,0
"invesco",6,0,1,0,4,0,2,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,5,0,2,1,0,1,1,1,6,0,1,0
"iron-mountain-inc",4,4,0,0,3,0,1,3,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,3,0,2,0,0,0,0,0,0,0,0,4,0,4,1,0,1,1,2,1,5,0,0,1,0,0,8,0,1,0
"itw",3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,1,1,1,0,2,1,0,1,1,3,0,1,0,0
"jabil",5,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,1,0,4,0,0,1,0,0,5,0,1,0
"jack-daniels",3,7,1,0,3,0,0,0,0,0,1,1,0,6,0,0,0,1,0,0,1,3,0,0,0,1,1,0,1,0,3,0,0,0,5,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,3,1,7,1,0,1,1,9,0,2,1,0,0,0,3,8,1,1,1
"jack-in-the-box",7,1,0,2,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,1,0,1,2,5,0,0,1,0,0,8,0,1,0
"jacobs-engineering",8,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,1,1,1,8,0,0,1,0,0,0,0,8,0,1,0
"jarden-corporation",15,6,0,5,4,3,3,5,1,0,0,0,0,0,0,0,5,4,3,3,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,6,0,0,5,9,0,1,0,0,0,0,0,0,0,0,7,0,14,1,0,1,1,6,5,10,1,0,1,1,0,21,0,1,0
"jb-hunt-transport-services",8,1,0,2,1,2,3,0,0,1,0,0,0,0,0,0,2,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,0,0,1,0,0,0,0,0,3,2,4,1,0,1,1,3,1,5,1,0,1,1,1,8,0,1,0
"jc-penney",8,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,6,1,0,1,0,0,0,8,0,1,0
"jetblue-airways-corporation",5,1,1,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,2,1,4,1,0,1,1,1,0,6,0,0,1,0,0,7,0,1,0
"jm-smucker",3,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,2,0,2,1,0,1,1,0,4,0,1,0
"john-hancock",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
"johnnie-walker",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,0,0,0,0,2,0,1,0
"johnson-controls",12,4,3,2,3,2,5,0,1,0,1,3,0,2,0,0,2,1,2,5,2,2,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,2,13,0,0,0,1,0,0,2,0,0,0,3,0,16,0,0,1,0,1,2,16,0,0,1,0,3,16,0,1,0
"johnson-johnson",7,1,0,0,3,1,3,0,0,0,1,0,0,0,0,0,0,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3,1,0,1,1,6,0,2,1,0,0,0,1,7,0,1,0
"johnsons",1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,3,0,1,0
"jones-lang-lasalle-incorporated",3,4,2,0,2,0,1,0,2,0,0,2,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,2,0,0,0,2,0,0,2,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,2,1,6,0,0,1,0,2,2,5,0,0,1,0,0,9,0,1,0
"jp-morgan",2,6,0,0,0,2,0,1,1,0,1,0,0,2,1,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,1,2,2,0,0,0,0,0,0,0,1,0,0,2,2,4,0,0,1,0,2,3,3,0,1,1,1,0,8,0,1,0
"kelloggs",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
"kelly-services",12,0,1,8,3,0,1,0,0,0,0,1,0,0,0,0,8,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,4,7,2,1,1,0,1,5,0,8,1,0,1,1,0,13,0,1,0
"kenworth",6,0,3,1,3,0,2,0,0,0,0,3,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,6,0,3,1,0,1,1,0,9,0,1,0
"keycorp",7,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,1,1,2,0,5,1,0,1,1,0,7,0,1,0
"kfc",2,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,4,0,0,1,0,0,0,4,0,1,0,0
"kia",1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,3,0,0,1,0,0,0,0,3,0,1,0
"kimberlyclark-corporation",11,3,0,2,4,2,3,0,0,0,3,0,0,0,0,0,2,4,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,3,2,9,0,0,1,0,12,0,2,1,0,0,0,1,13,0,1,0
"kinder-morgan",12,1,0,11,1,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,1,0,13,0,0,1,0,0,0,0,13,0,1,0
"kindred-healthcare",7,7,0,0,7,0,0,1,6,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,1,1,0,0,6,4,0,1,0,1,0,0,0,0,0,0,2,0,12,0,0,1,0,2,6,6,0,1,1,1,1,13,0,1,0
"kitchenaid",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,1,0
"kkr",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,1,0,0,3,0,1,0
"kohls",4,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,4,0,0,1,0,0,5,0,0,1,0,0,0,2,3,1,1,1
"kraft",6,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,1,0,1,1,5,0,1,1,0,0,0,1,5,0,1,0
"kroger",4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,2,1,0,1,1,0,4,0,1,0
"l-brands",7,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,7,0,0,1,0,0,0,7,0,1,0
"l3-communications-holdings",16,1,0,4,7,2,3,0,0,0,1,0,0,0,0,0,4,5,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,1,0,8,0,9,1,0,1,1,0,17,0,1,0
"laboratory-corp-of-america",9,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,1,1,9,0,0,1,0,0,0,0,9,0,1,0
"lam-research-corporation",4,6,2,2,1,1,0,2,1,1,0,2,0,1,1,0,2,0,1,0,0,1,2,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,2,6,0,2,0,0,0,0,0,0,0,0,2,1,9,0,0,1,0,1,2,9,0,0,1,0,1,11,0,1,0
"land-olakes",5,5,0,2,1,1,1,0,0,2,1,0,0,2,0,0,2,1,1,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,2,0,3,0,0,0,0,0,6,3,1,1,1,0,1,8,0,2,1,0,0,0,6,4,1,1,1
"landrover",6,1,0,1,2,3,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,7,0,0,1,0,0,0,6,1,1,0,0
"lansing-trade-group",15,0,1,3,9,1,2,0,0,0,0,1,0,0,0,0,3,5,1,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,4,9,0,1,0,0,0,0,0,0,0,0,2,1,13,0,0,1,0,1,4,11,0,0,1,0,0,16,0,1,0
"las-vegas-sands",15,1,0,5,5,1,4,0,1,0,0,0,0,0,0,0,5,4,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,6,3,1,1,0,0,0,0,0,0,0,2,3,1,12,0,0,1,0,4,8,4,0,1,0,0,2,14,0,1,0
"lawson-software",5,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,1,1,3,0,3,1,0,1,1,0,6,0,1,0
