name,index,ncolors,nregions,frac,pcm,h_sym,v_sym,rep_frac,rep_pcm,h_pos,v_pos,avg_left,avg_right,avg_top,avg_bot,abs_left,abs_right,abs_top,abs_bot,ch_density,ch_entropy,ar,ncorners,down_diag,vert,up_diag,hor
loreal,1,3,5,0.02025866601240756,17.155828982472308,-0.0018099846887615853,0.1752852568816397,0.2512048766239039,5.365231367114805,0.5,0.513986013986014,False,False,False,False,False,False,False,False,0.20650232225794926,0.8113002877314716,1.4727272727272729,31,0.06528189910979229,0.3887240356083086,0.03857566765578635,0.5074183976261127
louis-vuitton,1,2,4,0.21826809015421114,13.787710572556307,0.4109647655006529,0.2128071737756454,0.42023431063006295,15.184680869016294,0.4946428571428572,0.4283489096573209,False,False,True,False,False,False,True,False,0.3957521172200564,0.2774925212184248,1.0207253886010363,29,0.08154059680777237,0.34420541290770296,0.1967383761276891,0.3775156141568355
lowes,1,2,8,0.5672743055555556,1.8556043605663453,0.9931368423842116,-0.03282533920967352,0.23728742374159226,6.671532090009313,0.4987864077669903,0.4978448275862069,False,False,False,False,False,False,False,False,0.944364161849711,0.6515302032884738,2.1920529801324498,12,0.04843918191603875,0.2572658772874058,0.04951560818083961,0.6447793326157158
mac,1,5,22,0.13706530958439356,31.942303515922145,0.24782595060815424,0.4328590421823672,0.12747879448445373,12.167670908227636,0.4983443708609272,0.4961538461538462,False,False,False,False,False,False,False,False,0.3095785440613027,0.8418544265983021,4.659574468085107,67,0.127170582226762,0.27374872318692545,0.16700715015321754,0.4320735444330949
macys,1,2,3,0.02631578947368421,54.72334592520009,0.2477918652828219,0.6515903461022823,0.2043862650546169,2.6137006130280205,0.4252427184466019,0.4821428571428572,True,False,False,False,True,False,False,False,0.15258215962441316,0.41999612030561023,2.507042253521127,14,0.13336614173228348,0.5275590551181102,0.12746062992125984,0.21161417322834647
macys,2,1,1,0.023036437246963564,4.422400269909068,0.9902021574059344,0.37512733335478377,0.0,0.0,0.15048543689320387,0.4846938775510204,True,False,False,False,True,False,False,False,0.491647465437788,0.4996523644358265,1.0441176470588236,10,0.1987704918032787,0.29098360655737704,0.1987704918032787,0.3114754098360656
marathon-petroleum,1,3,14,0.5910426555587845,1.4438741815342846,0.9127040640751912,0.5007363050715157,0.3403012486422731,7.365005743850403,0.4984326018808777,0.4980916030534352,False,False,False,False,False,False,False,False,0.9780128770270632,1.067238593276463,1.3149171270718232,4,0.13274932614555254,0.3005390835579515,0.12601078167115906,0.44070080862533695
markel-corporation,1,1,2,0.25612959327291146,2.9548752078364737,0.4592186547205859,0.0873375297557133,0.04593818907283609,0.2208060086027608,0.3538681948424069,0.4476309226932668,False,False,False,False,False,False,False,False,0.956319453742134,1.3713494492913392,0.7990430622009569,9,0.0029211295034079843,0.6845180136319376,0.06426484907497566,0.2482960077896787
marriott,1,3,18,0.3782367058229128,9.509913111534393,0.2313133636732759,0.5032032360372535,0.8436145223213004,10.245561825251556,0.4977477477477478,0.4960629921259842,False,False,False,False,False,False,False,False,0.89736290080911,2.005408918371108,3.065217391304348,46,0.11149110807113544,0.320109439124487,0.04993160054719562,0.518467852257182
mars,1,1,1,0.3257565320388836,32.30409092469043,-0.12623448573538246,0.3927586675659024,0.0,0.0,0.40827873734365694,0.4986876640419948,True,False,False,False,True,False,False,False,0.4881086109688714,0.15751203223649304,4.303333333333334,41,0.11523149513417873,0.3845473311707461,0.09871719256856384,0.40150398112651137
marshalls,1,2,2,0.034028207774337814,11.5456839337475,0.08864228224064916,0.5302109199078043,0.4433885968459361,15.600356241367512,0.1967741935483871,0.5023696682464455,True,False,False,False,True,False,False,False,0.5217299578059071,1.0765184129505416,1.2794117647058822,40,0.016359918200409,0.6339468302658486,0.17586912065439672,0.1738241308793456
masco,1,1,1,0.11379916933227095,36.98895947051175,0.05085481665180353,0.25752845162912125,0.0,0.0,0.2709772951628825,0.498371335504886,True,False,False,False,False,False,False,False,0.34052846183971064,0.2724364961581053,2.09375,31,0.13288052943225356,0.5256008359456635,0.1220828979449669,0.21943573667711605
massachusetts-mutual-life-insurance-company,1,2,4,0.08481822836661547,6.2475400993362475,0.09133793514523186,0.11922801962530677,0.2030432590685122,9.889195401335787,0.17475728155339804,0.503448275862069,True,False,False,False,False,False,False,False,0.8378856853818918,1.106181078311604,1.0,17,0.021321961620469083,0.3944562899786781,0.1961620469083156,0.3880597014925373
