name,area,frac,r,g,b,color_label
best-buy,10416,0.288691796,240.9971198,230.3022273,22.37259985,11
best-buy,18011,0.499196231,254.3065904,254.3065904,254.3065904,0
best-buy,7653,0.212111973,7.541879002,7.301973082,2.504508036,1
big-lots,4181,0.059861121,247.0406601,146.852906,58.48050706,5
big-lots,41518,0.594430525,254.1670119,254.0381762,253.9355701,0
big-lots,22848,0.327124347,0.589110644,0.589110644,0.589110644,1
big-lots,1298,0.018584007,129.8697997,129.8697997,129.8697997,6
biogen-idec-inc,4139,0.062139683,38.64049287,94.51316743,178.2058468,3
biogen-idec-inc,62469,0.937860317,253.4716419,253.7996606,254.3988058,0
black-and-decker,2711,0.040986333,252.0154924,115.9195869,22.91626706,5
black-and-decker,44230,0.66869255,254.4947773,254.3730047,254.3105358,0
black-and-decker,17245,0.260719037,1.326587417,1.326587417,1.326587417,1
black-and-decker,1958,0.02960208,170.9187947,166.2170582,163.8432074,8
blackrock,57316,0.751882461,254.320312,254.320312,254.320312,0
blackrock,17710,0.232323232,1.530773574,1.530773574,1.530773574,1
blackrock,1204,0.015794307,135.9252492,135.9252492,135.9252492,6
blackstone,23010,0.393010863,251.2810952,251.2810952,251.2810952,0
blackstone,35538,0.606989137,1.914682875,1.914682875,1.914682875,1
bmw,6368,0.090679957,0.552920854,153.856941,217.9766018,9
bmw,41868,0.596197935,253.6301471,253.8772571,253.9987102,0
bmw,20047,0.285468138,0.836733676,0.836733676,0.836733676,1
bmw,1942,0.027653969,133.0401648,139.0164779,142.3697219,8
bnsf-railway,7321,0.093804856,32.68692802,28.92337112,29.8415517,1
bnsf-railway,16393,0.210045487,245.1603733,132.739218,42.60568535,5
bnsf-railway,54331,0.696149657,254.7409766,254.2112606,253.8356555,0
boeing,7657,0.113135343,49.79600366,119.2339036,189.1564581,3
boeing,57699,0.852526596,254.7603945,254.8064438,254.8551968,0
boeing,2324,0.034338061,175.345525,180.8687608,188.8403614,8
bond-street,4234,0.069352989,65.13320737,153.8212093,233.9074162,9
bond-street,51966,0.851203931,254.3044106,254.475484,254.6231382,0
bond-street,4088,0.066961507,6.525440313,6.525440313,6.525440313,1
bond-street,762,0.012481572,133.9094488,133.9094488,133.9094488,6
booking,8664,0.145393522,2.601800554,52.01038781,127.7703139,7
booking,4234,0.07105219,11.76547,171.2446859,235.11077,9
booking,46692,0.783554288,253.5394928,253.9904909,254.3903881,0
booz-allen-hamilton-holding-corp,42172,0.901515637,254.224936,254.2220431,254.229631,0
booz-allen-hamilton-holding-corp,3535,0.075568097,3.43592645,3.459123055,3.548514851,1
booz-allen-hamilton-holding-corp,1072,0.022916266,127.9160448,127.8852612,128.4645522,6
borgwarner-inc,44882,0.316627866,34.86778664,66.45470344,129.6219865,3
borgwarner-inc,96868,0.683372134,253.9136557,254.0701883,254.3836148,0
boston-scientific-corp,9702,0.165154481,34.4399093,83.61760462,132.6420326,3
boston-scientific-corp,49043,0.834845519,253.0315641,253.268601,253.7273821,0
bristol-myers-squibb,8708,0.116292735,20.37011943,106.8533532,166.7203721,3
bristol-myers-squibb,66172,0.883707265,252.8569939,253.6056943,254.1377924,0
broadcom,4833,0.067770704,225.9337885,20.69894475,52.61038692,2
broadcom,58738,0.82365314,254.7372399,254.6024209,254.6198543,0
broadcom,6623,0.092870965,1.481352861,1.481352861,1.481352861,1
broadcom,1120,0.015705191,176.2580357,138.7410714,142.9848214,8
budweiser,17490,0.277003484,238.8928531,73.985992,65.46300743,2
budweiser,45650,0.722996516,254.5642059,251.2243373,251.0469222,0
buick,747,0.03402879,149.3212851,153.2423025,158.9518072,8
buick,704,0.032069971,80.70880682,84.97869318,100.1832386,6
buick,18760,0.854591837,254.6596482,254.6954691,254.7407783,0
buick,924,0.042091837,32.36255411,22.82900433,24.77813853,1
buick,817,0.037217566,202.501836,206.4724602,211.2631579,8
burberry,45134,0.08009583,36.20642974,32.43109408,33.45019276,1
burberry,6753,0.011984028,114.6262402,112.8785725,113.6554124,6
burberry,494973,0.878390417,254.6698527,254.6613391,254.6659656,0
burberry,8120,0.014409938,4.555295567,2.101600985,2.794458128,1
burberry,8520,0.015119787,187.6610329,186.6170188,187.106338,8
burger-king,11344,0.171137193,235.9034732,25.70892102,31.47417137,2
burger-king,6009,0.090652626,3.886170744,102.6789815,179.4117158,3
burger-king,6530,0.098512506,253.8811639,182.8166922,63.29004594,11
burger-king,42403,0.639697674,254.3490319,253.7532722,253.6731599,0
burlington-stores,10043,0.149010356,237.0950911,21.11042517,86.33476053,2
burlington-stores,57355,0.850989644,254.8583384,253.4857118,253.8209398,0
cabelas-inc,5921,0.149724372,243.889039,203.0949164,74.13241007,11
cabelas-inc,485,0.012264199,139.3587629,137.6226804,141.0762887,8
cabelas-inc,587,0.014843473,42.35945486,38.77342419,42,1
cabelas-inc,1055,0.026677793,48.71848341,45.33364929,49.15545024,1
cabelas-inc,2013,0.050902746,58.16592151,53.45901639,52.56780924,1
cabelas-inc,1079,0.027284681,101.5180723,90.27988879,67.53938832,6
cabelas-inc,27173,0.687123856,254.7771317,254.7719795,254.7834983,0
cabelas-inc,531,0.013427401,197.3088512,196.4651601,198.9227872,8
cabelas-inc,702,0.017751479,177.7606838,149.2535613,64.56125356,12
cablevision-systems-corporation,17018,0.260692402,22.26712892,97.41667646,160.5459513,3
cablevision-systems-corporation,48262,0.739307598,251.0984211,252.0480502,253.1031039,0
