name,feat,area,frac,ftype,style,family,ver
american-financial-group,0,143.0,0.002012667135819845,callig,glyphic,trajan,bold
american-financial-group,1,114.0,0.0016045038705137227,callig,glyphic,copperplate-gothic,bold
american-financial-group,2,157.0,0.0022097114707952145,serif,transitional,americana,orig
american-financial-group,3,112.0,0.0015763546798029558,serif,didone,bodoni,italic
american-financial-group,4,168.0,0.0023645320197044333,serif,transitional,americana,italic
american-financial-group,5,139.0,0.001956368754398311,serif,oldstyle,centaur,bi
american-financial-group,6,112.0,0.0015763546798029558,serif,didone,bodoni,italic
american-financial-group,7,125.0,0.0017593244194229415,serif,didone,bodoni,italic
american-financial-group,8,87.0,0.0012244897959183673,sans,grotesque,helvetica,co
american-financial-group,9,102.0,0.0014356087262491204,sans,grotesque,helvetica,co
american-financial-group,10,83.0,0.0011681914144968332,serif,slab,rockwell,light
american-financial-group,11,101.0,0.0014215341308937367,sans,grotesque,helvetica,co
american-financial-group,12,87.0,0.0012244897959183673,sans,geom,futura,orig
american-financial-group,13,103.0,0.0014496833216045039,sans,grotesque,helvetica,co
american-financial-group,14,69.0,0.0009711470795214637,sans,grotesque,helvetica,co
american-financial-group,15,130.0,0.0018296973961998593,sans,grotesque,helvetica,cb
american-financial-group,16,144.0,0.0020267417311752287,sans,humanist,gillsans,co
american-financial-group,17,133.0,0.00187192118226601,sans,grotesque,helvetica,cb
american-financial-group,18,167.0,0.00235045742434905,sans,geom,futura,cb
american-financial-group,19,119.0,0.0016748768472906405,sans,grotesque,helvetica,cb
ameriprise-financial,0,259.0,0.007120274914089347,serif,transitional,americana,bold
ameriprise-financial,1,103.0,0.002831615120274914,serif,transitional,times,orig
ameriprise-financial,2,92.0,0.0025292096219931273,serif,didone,bodoni,bold
ameriprise-financial,3,245.0,0.006735395189003436,serif,didone,bodoni,orig
ameriprise-financial,4,101.0,0.0027766323024054984,serif,transitional,times,orig
ameriprise-financial,5,79.0,0.0021718213058419243,serif,didone,bodoni,bold
ameriprise-financial,6,45.0,0.0012371134020618556,sans,geom,futura,italic
ameriprise-financial,7,69.0,0.0018969072164948455,serif,transitional,times,ci
ameriprise-financial,8,232.0,0.0063780068728522335,serif,oldstyle,centaur,bold
ameriprise-financial,9,166.0,0.004563573883161512,serif,oldstyle,centaur,bold
ameriprise-financial,10,133.0,0.003656357388316151,serif,transitional,americana,bold
ameriprise-financial,11,141.0,0.0038762886597938145,serif,transitional,americana,bold
ameriprise-financial,12,153.0,0.00420618556701031,serif,transitional,times,bold
ameriprise-financial,13,168.0,0.004618556701030928,serif,transitional,times,bold
amerisourcebergen,0,287.0,0.004087445702485224,sans,geom,futura,light
amerisourcebergen,1,156.0,0.0022217474898525956,sans,grotesque,helvetica,light
amerisourcebergen,2,138.0,0.001965392010254219,sans,grotesque,helvetica,light
amerisourcebergen,3,131.0,0.0018656982126326284,sans,geom,comfortaa,light
amerisourcebergen,4,100.0,0.001424197108879869,sans,grotesque,helvetica,light
amerisourcebergen,5,481.0,0.00685038809371217,sans,geom,futura,orig
amerisourcebergen,6,480.0,0.006836146122623371,sans,grotesque,helvetica,orig
amerisourcebergen,7,692.0,0.009855443993448693,sans,grotesque,helvetica,orig
amerisourcebergen,8,461.0,0.006565548671936196,sans,grotesque,helvetica,orig
amerisourcebergen,9,348.0,0.004956205938901944,sans,geom,futura,orig
amerisourcebergen,10,130.0,0.0018514562415438297,sans,humanist,gillsans,co
amerisourcebergen,11,312.0,0.004443494979705191,sans,grotesque,helvetica,orig
amerisourcebergen,12,315.0,0.004486220892971587,sans,grotesque,helvetica,orig
amerisourcebergen,13,304.0,0.004329559210994802,sans,grotesque,helvetica,orig
amerisourcebergen,14,288.0,0.004101687673574023,serif,clarendon,clarendon,orig
amerisourcebergen,15,356.0,0.0050701417076123335,serif,clarendon,clarendon,orig
amerisourcebergen,16,350.0,0.004984689881079541,serif,clarendon,clarendon,orig
amerisourcebergen,17,499.0,0.007106743573310546,sans,geom-square,eurostile,orig
amerisourcebergen,18,349.0,0.004970447909990743,serif,clarendon,clarendon,orig
amerisourcebergen,19,305.0,0.0043438011820836,sans,geom,futura,orig
amgen,0,31460.0,0.10219594594594594,sans,humanist,gillsans,cb
amphenol-corporation,0,2516.0,0.03294056035611417,callig,glyphic,copperplate-gothic,bold
amphenol-corporation,1,2139.0,0.02800471327572663,serif,transitional,americana,bold
amphenol-corporation,2,1125.0,0.014728986645718775,sans,humanist,gillsans,co
amphenol-corporation,3,2732.0,0.03576852579209217,sans,geom,futura,orig
amphenol-corporation,4,1853.0,0.024260277559570567,sans,geom,comfortaa,bold
amphenol-corporation,5,1780.0,0.023304529981670593,sans,geom,futura,orig
amphenol-corporation,6,1821.0,0.023841319717203456,serif,slab,rockwell,orig
anixter-international,0,2042.0,0.03939043209876543,sans,humanist,gillsans,bold
anixter-international,1,2092.0,0.04035493827160494,sans,grotesque,helvetica,cb
anthem,0,63.0,0.00612780857893201,sans,grotesque,helvetica,light
anthem,1,46.0,0.0044742729306487695,serif,slab,rockwell,co
anthem,2,38.0,0.0036961385079272444,serif,didone,bodoni,cbi
anthem,3,29.0,0.0028207372823655288,serif,transitional,times,cb
anthem,4,37.0,0.003598871705087054,sans,humanist,gillsans,bold
anthem,5,37.0,0.003598871705087054,sans,geom,bauhaus,bold
anthem,6,223.0,0.021690497033362514,serif,didone,bodoni,bold
applied-materials,0,620.0,0.00985597558261533,sans,humanist,gillsans,light
applied-materials,1,599.0,0.009522144151591264,sans,geom-square,eurostile,orig
applied-materials,2,562.0,0.008933964963596478,sans,geom-square,eurostile,orig
applied-materials,3,378.0,0.006008965758433218,sans,humanist,gillsans,orig
applied-materials,4,264.0,0.0041967379900168505,sans,grotesque,helvetica,light
applied-materials,5,665.0,0.010571328649095477,sans,grotesque,helvetica,orig
applied-materials,6,723.0,0.01149333926811433,sans,grotesque,helvetica,orig
applied-materials,7,364.0,0.0057864114710838395,sans,geom,comfortaa,orig
applied-materials,8,242.0,0.003847009824182113,sans,geom,comfortaa,bold
applied-materials,9,406.0,0.006454074333131975,sans,geom,comfortaa,bold
applied-materials,10,132.0,0.0020983689950084252,sans,grotesque,helvetica,light
applied-materials,11,365.0,0.005802308205894509,sans,humanist,gillsans,orig
applied-materials,12,212.0,0.0033701077798620163,sans,geom-square,eurostile,co
applied-materials,13,351.0,0.005579753918545131,sans,geom,comfortaa,orig
applied-materials,14,57.0,0.0009061138842081836,sans,geom,futura,light
aramark,0,2867.0,0.014766172229089412,sans,geom-square,eurostile,orig
aramark,1,1566.0,0.008065512978986403,sans,grotesque,helvetica,orig
aramark,2,4240.0,0.021837659662134322,sans,humanist,gillsans,orig
aramark,3,3305.0,0.017022043675319325,sans,geom,futura,orig
aramark,4,1670.0,0.008601153687680264,sans,grotesque,helvetica,orig
archerdanielsmidland-company,0,1896.0,0.027014704206086856,sans,geom-square,eurostile,orig
arrow-electronics,0,576.0,0.003500243072435586,sans,geom,comfortaa,bold
arrow-electronics,1,588.0,0.003573164803111327,sans,geom,comfortaa,bold
arrow-electronics,2,553.0,0.0033604764219737483,sans,grotesque,helvetica,orig
arrow-electronics,3,506.0,0.0030748663101604276,sans,geom,futura,bold
arrow-electronics,4,714.0,0.0043388429752066115,sans,grotesque,helvetica,orig
arrow-electronics,5,574.0,0.0034880894506562955,sans,grotesque,helvetica,orig
arrow-electronics,6,590.0,0.0035853184248906176,sans,grotesque,helvetica,orig
arrow-electronics,7,600.0,0.0036460865337870686,sans,grotesque,helvetica,orig
arrow-electronics,8,582.0,0.0035367039377734565,serif,slab,rockwell,orig
arrow-electronics,9,398.0,0.0024185707340787553,sans,humanist,gillsans,bold
arrow-electronics,10,418.0,0.0025401069518716578,sans,humanist,gillsans,cb
arrow-electronics,11,304.0,0.0018473505104521148,sans,humanist,gillsans,bold
arrow-electronics,12,302.0,0.0018351968886728244,sans,humanist,gillsans,bold
arthur-j-gallagher--co,0,2084.0,0.029741686884544028,callig,casual,nadianne,bold
arthur-j-gallagher--co,1,256.0,0.003653489367775082,serif,oldstyle,bembo,orig
arthur-j-gallagher--co,2,141.0,0.0020122734408448695,serif,transitional,times,co
arthur-j-gallagher--co,3,248.0,0.003539317825032111,serif,oldstyle,centaur,orig
arthur-j-gallagher--co,4,249.0,0.003553589267874982,serif,oldstyle,centaur,orig
arthur-j-gallagher--co,5,179.0,0.002554588268873983,serif,oldstyle,bembo,orig
arthur-j-gallagher--co,6,121.0,0.001726844583987441,serif,transitional,times,orig
arthur-j-gallagher--co,7,120.0,0.0017125731411445698,serif,transitional,times,co
arthur-j-gallagher--co,8,118.0,0.0016840302554588268,serif,transitional,times,co
arthur-j-gallagher--co,9,174.0,0.002483231054659626,serif,clarendon,clarendon,orig
asbury-automotive-group,0,240.0,0.006530612244897959,sans,geom,futura,orig
asbury-automotive-group,1,206.0,0.0056054421768707485,sans,geom,bauhaus,orig
asbury-automotive-group,2,239.0,0.0065034013605442175,serif,transitional,times,cb
