"","down.to.earth","honest","wholesome","cheerful","daring","spirited","imaginative","up.to.date","reliable","intelligent","successful","upper.class","charming","outdoorsy","tough"
"johnson-johnson",1.33333333333333,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0,0,0,1,1.33333333333333,2.66666666666667,0,1.33333333333333,0,0
"johnsons",2.33333333333333,3.66666666666667,3.5,2.66666666666667,1,0.333333333333333,1,2.33333333333333,4,2,4,0.666666666666667,1.66666666666667,0.333333333333333,0.5
"jones-lang-lasalle-incorporated",1.66666666666667,3,3,2.33333333333333,1.66666666666667,1.66666666666667,2.5,3,4,4,3.66666666666667,2,2,1.33333333333333,1
"jp-morgan",1.66666666666667,2,2.5,1.66666666666667,1.66666666666667,1.66666666666667,2,2,2,2.33333333333333,2,1,1.33333333333333,0.666666666666667,0
"kelloggs",2.33333333333333,4,2.5,3.66666666666667,2.66666666666667,2,2,2.66666666666667,2.33333333333333,0.333333333333333,3.66666666666667,0.333333333333333,0.666666666666667,0,0
"kelly-services",2.66666666666667,2.66666666666667,3,3,2.33333333333333,2.33333333333333,3.5,2.33333333333333,3,2.66666666666667,3,2.33333333333333,2,2.33333333333333,1.5
"kenworth",1,3,2,1.66666666666667,1.66666666666667,1.66666666666667,2,2.33333333333333,3.33333333333333,2.33333333333333,3,1.66666666666667,1.33333333333333,1.66666666666667,3
"keycorp",3,3,1.5,2.66666666666667,2,1.33333333333333,3,3,2.66666666666667,3,3,1,2,0,0
"kfc",3,4,3,4,0,1.33333333333333,1.5,1.33333333333333,3,1,4,0,1.66666666666667,0,0
"kia",1.33333333333333,3,1.5,3,2.66666666666667,2.66666666666667,3.5,1.66666666666667,1.66666666666667,3.66666666666667,2.33333333333333,1,2.33333333333333,0,0
"kimberlyclark-corporation",1.33333333333333,2,1,0.666666666666667,0,0,0,1.33333333333333,2,1,2.66666666666667,0,1.33333333333333,0,0
"kindred-healthcare",3,3.66666666666667,2.5,4,2,2.33333333333333,3.5,3,3.33333333333333,2.66666666666667,3.33333333333333,2.33333333333333,3,0.666666666666667,1
"kitchenaid",1.33333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0,2.33333333333333,2,0,3,0.666666666666667,0,0,0
"kkr",0,1.33333333333333,0,0.333333333333333,2,1,0,2,2.33333333333333,2.66666666666667,3,2,0.333333333333333,0.666666666666667,0.5
"kohls",1.33333333333333,1.33333333333333,1.5,1,1,0.666666666666667,1,1.33333333333333,2,1.66666666666667,2.33333333333333,1.33333333333333,1.33333333333333,1,0
"kraft",1.66666666666667,2,2,1.66666666666667,1.33333333333333,2,2,1.33333333333333,2,1.33333333333333,1.66666666666667,1,1.33333333333333,1.33333333333333,1
"kroger",0.333333333333333,3,0,1.66666666666667,0.333333333333333,0,0,0.666666666666667,2,3,2.66666666666667,0.666666666666667,0,1,0.5
"l-brands",1,2.33333333333333,2,2.66666666666667,4,3.33333333333333,3.5,3.33333333333333,2,1,2.66666666666667,4,3.66666666666667,1,1.5
"l3-communications-holdings",1,2.66666666666667,2.5,1.33333333333333,2,2,2,2.66666666666667,3.66666666666667,3,3.33333333333333,1.66666666666667,1.66666666666667,2,3
"laboratory-corp-of-america",0.666666666666667,3,1,0.333333333333333,0.333333333333333,0.333333333333333,1.5,2.66666666666667,2.66666666666667,3,2.66666666666667,0,0,0,1.5
"lam-research-corporation",0,2,1.5,1.33333333333333,0.666666666666667,2.33333333333333,1.5,2.33333333333333,3.66666666666667,4,3.66666666666667,0,0,0,0
"land-olakes",3,3,3,3,3,2.66666666666667,3,3,3,3,3,3,3,3,3
"landrover",2.33333333333333,3.66666666666667,3.5,3.33333333333333,4,3.33333333333333,4,4,3.66666666666667,2.33333333333333,4,2.66666666666667,3,3.33333333333333,4
"lansing-trade-group",1,1,0.5,1,1.66666666666667,1.66666666666667,1.5,2,2.33333333333333,1.33333333333333,2.66666666666667,1.66666666666667,1,0.666666666666667,2
"las-vegas-sands",0,3.66666666666667,0,2.66666666666667,2.66666666666667,2.66666666666667,2,2.66666666666667,3.66666666666667,4,4,2.66666666666667,1.33333333333333,0,0
"lawson-software",1.33333333333333,2.66666666666667,1.5,1.66666666666667,1.33333333333333,1.66666666666667,2.5,2.66666666666667,2.66666666666667,3.66666666666667,2.33333333333333,1.33333333333333,1.33333333333333,1,0
"lear-corporation",2,3,3,1.66666666666667,2.33333333333333,2,3.5,3.66666666666667,3.66666666666667,3.33333333333333,4,1,1.33333333333333,1.66666666666667,3.5
"lee",3.33333333333333,3,3,3.33333333333333,1.66666666666667,1.66666666666667,2.5,2,3.33333333333333,2.33333333333333,3.66666666666667,2,2,3,3.5
"lego",2.66666666666667,3,4,3,2.66666666666667,3,3,2.66666666666667,3,2,3.66666666666667,1.66666666666667,2.33333333333333,2,1.5
"lennar",2.33333333333333,3,2,0.666666666666667,0,0,0,1.33333333333333,4,1.33333333333333,3.66666666666667,1.33333333333333,1,3.33333333333333,4
"lenovo",1,3.33333333333333,1,2.33333333333333,2.33333333333333,2,2.5,3.33333333333333,3.66666666666667,4,4,1.66666666666667,0.666666666666667,0.333333333333333,0.5
"leucadia-national-corporation",0.333333333333333,2.33333333333333,0,0.333333333333333,0,0,0.5,1,3,2,1.33333333333333,0.666666666666667,0,0.666666666666667,3
"level-3",0,2.33333333333333,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.5,3,3,3.66666666666667,3,0.666666666666667,0,1.33333333333333,0
"levis",0.666666666666667,2,1.5,1.66666666666667,2.33333333333333,2,3.5,1,2.66666666666667,0.333333333333333,3,1,1,0,0
"liberty-interactive-corporation",2.66666666666667,2,2,2.66666666666667,2,2.66666666666667,2,2.33333333333333,2,2,1.66666666666667,2.33333333333333,2.66666666666667,1.33333333333333,0.5
"liberty-mutual-holding-company",1.66666666666667,3,3.5,2,3.66666666666667,2,4,1.66666666666667,3.66666666666667,3,3.66666666666667,3,0.333333333333333,1.33333333333333,1.5
"lifepoint-health",1.33333333333333,2,1,0.666666666666667,0,0.666666666666667,0,0,2.33333333333333,0,1,0,0,0.666666666666667,0
"lilly",0,2,1,0.666666666666667,0,0,0,1.33333333333333,1.66666666666667,2,0.333333333333333,0,0,0,0
"lincoln",1,2.66666666666667,2,2.33333333333333,3,2.66666666666667,2.5,2.33333333333333,3.33333333333333,3,3.66666666666667,3.66666666666667,3.33333333333333,0.666666666666667,1
"linkedin",0.333333333333333,2.33333333333333,1.5,0,1.33333333333333,1.33333333333333,1.5,1.66666666666667,2.33333333333333,2.33333333333333,2,1.33333333333333,1,1,0.5
"listerine",2,4,3.5,3,3.66666666666667,3.33333333333333,3.5,3,3.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,2.33333333333333,2.33333333333333,1.5
"lithia-motors",4,4,4,3,3.66666666666667,3.33333333333333,4,4,4,2.66666666666667,4,3.33333333333333,2.66666666666667,3,2.5
"live-nation-entertainment",1,3.66666666666667,2.5,2,3,2.66666666666667,3.5,2.33333333333333,3.33333333333333,3,4,2.66666666666667,1,0.333333333333333,0.5
"lkq-corporation",2.33333333333333,2,3,3,2.33333333333333,2.33333333333333,2,2.66666666666667,3,2.33333333333333,1.33333333333333,2.66666666666667,3,2,1.5
